x_V,y_V,RA_V,Dec_V,V_mag,B_mag,B_minus_V,dist_pix,FWHM_V,FWHM_B,r_V,r_B,x_ast,y_ast,panel,pair,V_gaia_approx,B_minus_V_gaia_approx
"2431,32","669,455","294,13","46,3093","0,228186","-0,495013","-0,7231989999999999","1,2184535280427924","10,2709","10,8344","0,989188","0,986889","2431,32","1994,545",P01,P01_V + P01_B,"11,788577496093751","0,930597271362305"
"1864,21","1258,93","294,273","46,3905","0,239958","-0,868168","-1,108126","1,0965856099730322","11,562","12,429","0,992046","0,937832","1864,21","1405,07",P01,P01_V + P01_B,"11,80034949609375","0,545670271362305"
"2036,62","2338,09","294,513","46,3503","0,297354","0,0259574","-0,2713966","0,8095060222137295","10,2798","10,7711","0,952864","0,929177","2036,62","325,90999999999985",P01,P01_V + P01_B,"11,85774549609375","1,3823996713623048"
"1760,38","1676,48","294,369","46,4016","0,325246","-0,819483","-1,144729","1,0371113729971508","11,7342","12,2894","0,953238","0,949164","1760,38","987,52",P01,P01_V + P01_B,"11,88563749609375","0,5090672713623048"
"1412,22","1487,98","294,332","46,4581","0,361448","-0,782257","-1,143705","1,06667708328246","11,9838","12,5483","0,91849","0,907887","1412,22","1176,02",P01,P01_V + P01_B,"11,92183949609375","0,5100912713623049"
"2065,08","2060,39","294,45","46,3494","0,361931","-0,768401","-1,130332","0,9241753080449404","10,8246","11,7142","0,961576","0,906291","2065,08","603,6100000000001",P01,P01_V + P01_B,"11,92232249609375","0,523464271362305"
"1640,33","1653,66","294,366","46,4205","0,368446","-0,758935","-1,127381","1,0230347012687595","11,5619","12,3851","0,983606","0,925246","1640,33","1010,3399999999999",P01,P01_V + P01_B,"11,92883749609375","0,5264152713623049"
"1162,23","2244,24","294,508","46,4876","0,37314","-0,707418","-1,080558","0,9651942809610344","10,3567","11,0842","0,960791","0,929837","1162,23","419,7600000000002",P01,P01_V + P01_B,"11,93353149609375","0,573238271362305"
"3006,99","2474,52","294,526","46,1976","0,376385","-0,638942","-1,015327","1,0916501271013996","9,74042","10,6259","0,926804","0,916711","3006,99","189,48000000000002",P01,P01_V + P01_B,"11,936776496093751","0,6384692713623048"
"309,101","268,765","294,076","46,6444","0,379719","-0,838808","-1,218527","1,021004407434173","10,0476","10,9127","0,991579","0,953836","309,101","2395,235",P01,P01_V + P01_B,"11,94011049609375","0,435269271362305"
"2909,11","2170,45","294,46","46,2166","0,417887","-0,617254","-1,035141","1,0444615837836708","9,80451","10,6844","0,891468","0,870913","2909,11","493,5500000000002",P01,P01_V + P01_B,"11,97827849609375","0,6186552713623048"
"1385,07","1086,99","294,242","46,4672","0,424653","-0,698363","-1,123016","1,0615083607772464","11,6719","12,4247","0,93949","0,900845","1385,07","1577,01",P01,P01_V + P01_B,"11,98504449609375","0,5307802713623049"
"1189,0","1515,32","294,343","46,4925","0,425727","-0,601243","-1,02697","0,8993886812718895","14,5445","14,0772","0,754739","0,822097","1189,0","1148,68",P01,P01_V + P01_B,"11,98611849609375","0,626826271362305"
"1813,38","1980,73","294,437","46,3896","0,444866","-0,70621","-1,151076","0,9881295461627706","10,8801","11,9203","0,995367","0,918608","1813,38","683,27",P01,P01_V + P01_B,"12,00525749609375","0,5027202713623049"
"765,058","881,068","294,207","46,5662","0,456207","-0,662137","-1,118344","1,1076754939963034","10,8596","11,7622","0,880423","0,827342","765,058","1782,932",P01,P01_V + P01_B,"12,01659849609375","0,5354522713623049"
"1385,74","1149,95","294,257","46,4663","0,509915","-0,611464","-1,121379","1,0547511554864537","11,7021","12,5171","0,947008","0,900621","1385,74","1514,05",P01,P01_V + P01_B,"12,07030649609375","0,532417271362305"
"1163,66","1562,83","294,354","46,4959","0,547764","-0,521123","-1,068887","0,9642613753541504","11,2968","11,5128","0,908496","0,886463","1163,66","1101,17",P01,P01_V + P01_B,"12,108155496093751","0,584909271362305"
"1151,07","2041,81","294,462","46,4919","0,578367","-0,467642","-1,046009","0,9420191080864164","10,9235","11,4165","0,925244","0,915827","1151,07","622,19",P01,P01_V + P01_B,"12,13875849609375","0,6077872713623049"
"463,187","727,804","294,177","46,615","0,591332","-0,23004","-0,821372","1,05484643432111","10,5625","11,1119","0,871378","0,859464","463,187","1936,196",P01,P01_V + P01_B,"12,15172349609375","0,8324242713623049"
"103,627","2577,69","294,603","46,6482","0,593559","-0,118895","-0,7124539999999999","0,8207313811472966","12,3527","12,6455","0,77639","0,761568","103,627","86,30999999999995",P01,P01_V + P01_B,"12,15395049609375","0,941342271362305"
"1263,47","1577,43","294,355","46,4801","0,601357","-0,448391","-1,049748","0,9759098319005453","11,2576","12,3273","0,999994","0,904229","1263,47","1086,57",P01,P01_V + P01_B,"12,16174849609375","0,604048271362305"
