panel,B_minus_V_gaia_approx,V_gaia_approx
P01,"0,8104762713623048","13,93784149609375"
P01,"0,529456271362305","13,94162149609375"
P01,"0,8499362713623047","13,94369149609375"
P01,"0,7224862713623049","13,94451149609375"
P01,"0,7445562713623045","13,95860149609375"
P01,"1,117656271362305","13,96458149609375"
P01,"1,3350562713623049","13,965111496093751"
P01,"0,7294262713623049","13,97317149609375"
P01,"1,1150462713623048","13,97662149609375"
P01,"0,8255662713623046","13,98409149609375"
P01,"0,7036862713623049","13,98425149609375"
P01,"0,976206271362305","13,99403149609375"
P01,"0,8064862713623049","13,99885149609375"
P01,"0,6881362713623053","14,00667149609375"
P01,"0,8993362713623048","14,01098149609375"
P01,"1,2842462713623046","14,01120149609375"
P01,"1,3522462713623051","14,01738149609375"
P01,"0,954786271362305","14,03367149609375"
P01,"1,0182562713623051","14,03576149609375"
P01,"0,7858262713623048","14,04109149609375"
P01,"0,7859562713623047","14,04942149609375"
P01,"0,8668362713623048","14,05185149609375"
P01,"0,9092862713623049","14,05531149609375"
P01,"0,7383362713623047","14,058111496093751"
P01,"0,9798962713623052","14,06612149609375"
P01,"0,7540862713623049","14,06689149609375"
P01,"0,8046762713623048","14,07404149609375"
P01,"0,9472062713623048","14,07626149609375"
P01,"0,8948862713623047","14,08352149609375"
P01,"0,8500962713623048","14,08541149609375"
P01,"0,8856662713623049","14,08894149609375"
P01,"0,871406271362305","14,10031149609375"
P01,"0,8087162713623051","14,10104149609375"
P01,"0,6649362713623049","14,102221496093751"
P01,"0,9712962713623048","14,11024149609375"
P01,"0,877946271362305","14,11394149609375"
P01,"0,7894162713623047","14,11417149609375"
P01,"0,7989162713623048","14,11726149609375"
P01,"0,7654462713623049","14,121181496093751"
P01,"0,7871562713623048","14,127371496093751"
P01,"0,8407462713623048","14,13890149609375"
P01,"1,3420562713623045","14,14772149609375"
P01,"0,7519362713623049","14,15343149609375"
P01,"0,7761862713623051","14,16185149609375"
P01,"0,7655362713623048","14,16853149609375"
P01,"0,8973862713623049","14,18003149609375"
P01,"0,8350962713623049","14,18628149609375"
P01,"0,7792262713623048","14,20297149609375"
P01,"0,8370962713623047","14,20752149609375"
P01,"0,8147062713623048","14,20980149609375"
P01,"1,318796271362305","14,21683149609375"
P01,"0,8086562713623049","14,21827149609375"
P01,"0,8008162713623046","14,22006149609375"
P01,"1,6297562713623046","14,22338149609375"
P01,"0,7823862713623051","14,22644149609375"
P01,"1,4057962713623047","14,230411496093751"
P01,"0,907506271362305","14,23656149609375"
P01,"1,1815062713623052","14,24380149609375"
P01,"1,1057562713623046","14,246361496093751"
P01,"1,679106271362305","14,24654149609375"
P01,"0,7783862713623049","14,24979149609375"
P01,"1,389726271362305","14,26311149609375"
P01,"0,9569462713623049","14,27215149609375"
P01,"1,002706271362305","14,27221149609375"
P01,"1,0932062713623045","14,27673149609375"
P01,"0,7512362713623049","14,27737149609375"
P01,"0,764886271362305","14,28178149609375"
P01,"0,8488362713623048","14,29339149609375"
P01,"0,9370562713623052","14,30359149609375"
P01,"1,456156271362305","14,31071149609375"
P01,"1,077006271362305","14,32568149609375"
P01,"0,8818662713623051","14,32588149609375"
P01,"1,1399662713623049","14,32847149609375"
P01,"0,7901862713623047","14,34770149609375"
P01,"1,299486271362305","14,34849149609375"
P01,"0,8194662713623051","14,35131149609375"
P01,"1,0617062713623047","14,35434149609375"
P01,"0,9074162713623051","14,35497149609375"
P01,"0,8127162713623048","14,35608149609375"
P01,"0,995256271362305","14,35762149609375"
P01,"1,209316271362305","14,36052149609375"
P01,"1,3097562713623048","14,37120149609375"
P01,"1,1118062713623047","14,37759149609375"
P01,"1,021556271362305","14,39235149609375"
P01,"1,3426862713623047","14,39759149609375"
P01,"1,2790862713623046","14,40397149609375"
P01,"0,7845362713623047","14,41027149609375"
P01,"1,243546271362305","14,418291496093751"
P01,"0,9853062713623051","14,43586149609375"
P01,"0,921986271362305","14,438561496093751"
P01,"1,1034962713623049","14,45621149609375"
P01,"1,018846271362305","14,460611496093751"
P01,"0,9983662713623049","14,461321496093749"
P01,"0,9700062713623052","14,46458149609375"
P01,"1,280766271362305","14,46476149609375"
P01,"1,2372262713623048","14,46597149609375"
P01,"0,9256962713623049","14,469061496093751"
P01,"0,8167362713623052","14,48459149609375"
P01,"0,9683162713623048","14,49275149609375"
P01,"1,1986562713623048","14,511001496093751"
P01,"0,8863562713623048","14,51153149609375"
P01,"0,9798262713623052","14,51177149609375"
P01,"0,9072562713623049","14,51685149609375"
P01,"1,098626271362305","14,51899149609375"
P01,"0,8543562713623047","14,52907149609375"
P01,"1,0146862713623048","14,52923149609375"
P01,"0,7573362713623051","14,53218149609375"
P01,"0,7939462713623047","14,53302149609375"
P01,"0,9090262713623045","14,53330149609375"
P01,"0,9382162713623048","14,54090149609375"
P01,"0,8503862713623049","14,54803149609375"
P01,"0,8300862713623047","14,55945149609375"
P01,"0,9621962713623051","14,55949149609375"
P01,"1,198746271362305","14,563611496093749"
P01,"1,0561062713623048","14,56614149609375"
P01,"1,0779862713623047","14,56842149609375"
P01,"0,9753662713623052","14,57887149609375"
P01,"0,9403162713623048","14,58166149609375"
P01,"0,9026762713623047","14,58380149609375"
P01,"0,8723062713623047","14,58428149609375"
P01,"0,9891262713623052","14,59100149609375"
P01,"0,828906271362305","14,591991496093751"
P01,"0,8099462713623047","14,59395149609375"
P01,"1,287416271362305","14,598091496093751"
P01,"0,956286271362305","14,60491149609375"
P01,"0,7987062713623048","14,61058149609375"
P01,"0,642996271362305","14,617331496093751"
P01,"0,8064962713623052","14,62049149609375"
P01,"0,8156462713623052","14,62084149609375"
P01,"0,8996862713623051","14,62526149609375"
P01,"1,283026271362305","14,62933149609375"
P01,"1,1678862713623048","14,63034149609375"
P01,"0,9691462713623049","14,63416149609375"
P01,"1,159976271362305","14,64080149609375"
P01,"0,9720962713623047","14,65436149609375"
P01,"1,2051062713623049","14,657871496093751"
P01,"0,873786271362305","14,66966149609375"
P01,"0,8384262713623047","14,67571149609375"
P01,"0,844696271362305","14,67672149609375"
P01,"1,329186271362305","14,68185149609375"
P01,"1,0389462713623052","14,68618149609375"
P01,"0,780506271362305","14,68741149609375"
P01,"0,9237162713623048","14,70168149609375"
P01,"1,3529262713623051","14,70828149609375"
P01,"0,9015962713623047","14,716521496093751"
P01,"1,0615362713623049","14,71839149609375"
P01,"1,5056562713623052","14,72366149609375"
P01,"1,0381362713623048","14,73068149609375"
P01,"0,7315962713623049","14,73306149609375"
P01,"0,7655662713623048","14,73751149609375"
P01,"1,0740062713623049","14,74042149609375"
P01,"0,938106271362305","14,74635149609375"
P01,"0,8905362713623051","14,75356149609375"
P01,"0,9518962713623047","14,76031149609375"
P01,"0,9761562713623051","14,76686149609375"
P01,"0,816916271362305","14,76971149609375"
P01,"0,9929262713623048","14,773391496093751"
P01,"1,500956271362305","14,77535149609375"
P01,"0,9232962713623047","14,77914149609375"
P01,"1,4336762713623052","14,78060149609375"
P01,"0,8794262713623051","14,78292149609375"
P01,"0,8319462713623049","14,78691149609375"
P01,"1,265246271362305","14,79009149609375"
P01,"1,021136271362305","14,817551496093749"
P01,"0,962996271362305","14,82260149609375"
P01,"1,3350562713623049","14,82658149609375"
P01,"0,8720462713623047","14,83618149609375"
P01,"0,8716962713623047","14,83671149609375"
P01,"0,9216762713623048","14,83753149609375"
P01,"0,8862262713623048","14,84173149609375"
P01,"0,8316762713623049","14,84475149609375"
P01,"1,014766271362305","14,84491149609375"
P01,"0,830126271362305","14,84511149609375"
P01,"0,768636271362305","14,84993149609375"
P01,"1,487396271362305","14,857481496093751"
P01,"0,908896271362305","14,87561149609375"
P01,"0,8895862713623046","14,87562149609375"
P01,"0,7722862713623049","14,88040149609375"
P01,"0,9026862713623047","14,88096149609375"
P01,"0,8609962713623047","14,887411496093751"
P01,"0,9614462713623046","14,89235149609375"
P01,"0,7791262713623048","14,89292149609375"
P01,"1,2300462713623048","14,89363149609375"
P01,"0,8277862713623048","14,91155149609375"
P01,"1,000396271362305","14,91352149609375"
P01,"0,8734662713623047","14,91786149609375"
P01,"1,2977062713623049","14,91834149609375"
P01,"0,8312162713623046","14,93515149609375"
P01,"0,8311962713623049","14,93683149609375"
P01,"0,9276562713623049","14,93928149609375"
P01,"1,2509162713623048","14,94358149609375"
P01,"1,2524662713623052","14,94811149609375"
P01,"0,9740162713623048","14,94978149609375"
P01,"1,0449862713623048","14,95043149609375"
P01,"0,8709062713623048","14,95182149609375"
P01,"0,9213162713623047","14,95398149609375"
P01,"0,8863462713623047","14,95500149609375"
P01,"1,2864762713623046","14,95656149609375"
P01,"0,9612362713623046","14,95812149609375"
P01,"0,9133862713623047","14,95872149609375"
P01,"0,885176271362305","14,95959149609375"
P01,"0,8438662713623049","14,96201149609375"
P01,"0,8853162713623051","14,96297149609375"
P01,"0,8939662713623049","14,96480149609375"
P01,"0,831346271362305","14,96752149609375"
P01,"1,0063362713623047","14,97067149609375"
P01,"0,9797762713623048","14,987361496093751"
P01,"0,9859162713623046","14,987541496093751"
P01,"1,1302262713623046","14,99025149609375"
P01,"1,1516062713623048","14,99403149609375"
P01,"0,8300562713623045","14,99642149609375"
P01,"0,7323462713623049","14,99998149609375"
P01,"0,9992862713623052","15,00037149609375"
P01,"0,9291262713623047","15,01030149609375"
P01,"0,8708862713623047","15,01146149609375"
P01,"1,359896271362305","15,01563149609375"
P01,"1,288036271362305","15,02878149609375"
P01,"0,9311062713623053","15,02911149609375"
P01,"0,808976271362305","15,04288149609375"
P01,"0,7985562713623051","15,04443149609375"
P01,"1,2390562713623048","15,05434149609375"
P01,"0,8859862713623046","15,05546149609375"
P01,"1,0106662713623047","15,055581496093751"
P01,"0,8897962713623047","15,05809149609375"
P01,"1,0274062713623051","15,058211496093751"
P01,"1,106036271362305","15,05983149609375"
P01,"0,9382162713623048","15,06550149609375"
P01,"0,9022062713623051","15,07096149609375"
P01,"0,941226271362305","15,07550149609375"
P01,"0,7838262713623045","15,07682149609375"
P01,"0,9610662713623048","15,078671496093751"
P01,"1,1441562713623048","15,08722149609375"
P01,"0,9340962713623049","15,08826149609375"
P01,"0,8530762713623048","15,09126149609375"
P01,"0,9861162713623051","15,09487149609375"
P01,"0,8843162713623047","15,09755149609375"
P01,"0,923466271362305","15,10508149609375"
P01,"0,9409862713623052","15,10620149609375"
